65,3,8
65,4,11
65,5,14
65,6,16
65,7,21
65,8,22
65,9,25
65,10,29
65,11,374
65,12,376
65,13,380
66,1,3
66,2,4
66,3,8
66,4,11
66,5,13
66,6,16
66,7,21
66,8,22
66,9,27
66,10,30
66,11,374
66,12,376
66,13,381
67,1,3
67,2,4
67,3,9
67,4,11
67,5,14
67,6,16
67,7,21
67,8,22
67,9,25
67,10,29
67,11,374
67,12,376
67,13,380
68,1,3
68,2,4
68,3,8
68,4,11
68,5,13
68,6,16
68,7,21
68,8,24
68,9,27
68,10,29
68,11,374
68,12,378
68,13,380
69,1,3
69,2,5
69,3,8
69,4,11
69,5,13
69,6,16
69,7,21
69,8,22
69,9,27
69,10,28
69,11,374
69,12,376
69,13,381
70,1,3
70,2,5
70,3,8
70,4,11
70,5,13
70,6,16
70,7,21
70,8,22
70,9,27
70,10,29
70,11,374
70,12,376
70,13,380
71,1,3
71,2,4
71,3,8
71,4,11
71,5,13
71,6,16
71,7,21
71,8,24
71,9,25
71,10,
71,11,374
71,12,378
71,13,
72,1,3
72,2,4
72,3,8
72,4,11
72,5,13
72,6,16
72,7,21
72,8,22
72,9,25
72,10,29
72,11,374
72,12,376
72,13,380
73,1,3
73,2,4
73,3,8
73,4,11
73,5,13
73,6,16
73,7,21
73,8,22
73,9,27
73,10,29
73,11,374
73,12,376
73,13,380
74,1,3
74,2,4
74,3,8
74,4,11
74,5,13
74,6,16
74,7,21
74,8,22
74,9,27
74,10,30
74,11,374
74,12,376
74,13,381
75,1,3
75,2,5
75,3,8
75,4,11
75,5,14
75,6,16
75,7,21
75,8,23
75,9,27
75,10,29
75,11,374
75,12,376
75,13,381
76,1,3
76,2,4
76,3,8
76,4,11
76,5,13
76,6,16
76,7,21
76,8,22
76,9,27
76,10,29
76,11,374
76,12,376
76,13,380
77,1,3
77,2,4
77,3,8
77,4,11
77,5,13
77,6,16
77,7,21
77,8,22
77,9,25
77,10,29
77,11,373
77,12,376
77,13,381
78,1,3
78,2,4
78,3,8
78,4,10
78,5,14
78,6,18
78,7,21
78,8,22
78,9,27
78,10,29
78,11,374
78,12,376
78,13,380
79,1,3
79,2,4
79,3,8
79,4,11
79,5,13
79,6,16
79,7,21
79,8,22
79,9,27
79,10,29
79,11,374
79,12,376
79,13,380
80,1,3
80,2,5
80,3,8
80,4,11
80,5,14
80,6,16
80,7,21
80,8,24
80,9,27
80,10,29
80,11,374
80,12,376
80,13,380
81,1,3
81,2,4
81,3,8
81,4,11
81,5,14
81,6,16
81,7,21
81,8,22
81,9,27
81,10,29
81,11,374
81,12,376
81,13,380
82,1,3
82,2,4
82,3,8
82,4,11
82,5,13
82,6,16
82,7,21
82,8,22
82,9,25
82,10,29
82,11,374
82,12,376
82,13,380
83,1,3
83,2,4
83,3,8
83,4,11
83,5,15
83,6,16
83,7,21
83,8,24
83,9,25
83,10,29
83,11,374
83,12,376
83,13,381
84,1,3
84,2,4
84,3,8
84,4,11
84,5,13
84,6,16
84,7,21
84,8,22
84,9,25
84,10,28
84,11,374
84,12,376
84,13,380
85,1,3
85,2,4
85,3,8
85,4,11
85,5,13
85,6,16
85,7,21
85,8,22
85,9,27
85,10,29
85,11,374
85,12,376
85,13,380
86,1,3
86,2,4
86,3,8
86,4,11
86,5,13
86,6,16
86,7,21
